"plot_id","contributor","easting_utm_zone12","northing_utm_zone12","fire_year","plot_size","sample_year","time_since_fire","count_PIPO","elevation","slope","aspect","distance_seed_source_PIPO","fire_severity_other","grass_cover","forb_cover","soil_cover","rock_cover","organic_cover","potr_cover"
"S09119","SLH",409847.0466,4022439.866,"1960",4,"2005",45,0,2328,25.68218,171.0274,120.4159,"tree_mortality_100%",2,0,12,40,46,0
"S09124","SLH",408827.0466,4018859.866,"1960",4,"2005",45,0,2708,4.16874,120.9638,180,"tree_mortality_100%",15,2,0,3,80,56
"S09125","SLH",409777.0466,4018129.866,"1960",2,"2005",5,0,2668,11.69021,295.0169,162.7882,"tree_mortality_100%",7,3,1,0,89,69
"S10133","SLH",411737.0466,4023909.866,"1960",4,"2005",45,0,2111,17.65097,135,171.1724,"tree_mortality_100%",28,6,5,23,38,0
"S10147","SLH",409727.0466,4020709.866,"1960",4,"2005",5,0,2331,22.40687,104.0362,114.0175,"tree_mortality_100%",18,9,19,11,43,0
"S10150","SLH",411387.0466,4020499.866,"1960",4,"2005",45,52.0833333333333,2261,34.7847,329.7436,100.4988,"tree_mortality_100%",4,4,20,32,40,0
"S10151","SLH",409437.0466,4018499.866,"1960",6,"2005",5,17.7304964539007,2679,4.16874,30.96376,120.4159,"tree_mortality_100%",1,1,0,0,98,91
"S11153","SLH",410837.0466,4024389.866,"1960",4,"2005",45,0,2155,10.77977,23.19859,94.86833,"tree_mortality_100%",38,10,1,7,44,0
"S11157","SLH",412557.0466,4023469.866,"1960",4,"2005",45,0,2099,8.984877,108.435,114.0175,"tree_mortality_100%",8,1,15,21,55,0
"S11160","SLH",409577.0466,4020629.866,"1960",4,"2005",5,0,2375,23.50004,108.435,22.36068,"tree_mortality_100%",41,7,8,15,29,0
"S11162","SLH",408697.0466,4019059.866,"1960",2,"2005",45,408.163265306122,2707,8.530766,0,90,"tree_mortality_100%",11,3,0,2,84,56
"S11163","SLH",408507.0466,4018799.866,"1960",4,"2005",45,26.0416666666667,2709,3.199601,26.56505,50,"tree_mortality_100%",22,13,0,5,60,31
