"plot_id","contributor","easting_utm_zone13","northing_utm_zone13","fire_year","plot_size","sample_year","time_since_fire","count_PIPO","elevation","slope","aspect","fire_severity_other","grass_cover","forb_cover","soil_cover","rock_cover","organic_cover","shrub_cover"
"L12157","SLH",380950.0906,3963703.411,"1977",10,"2005",6,33.3333333333333,2176,14.10346,185.7106,"tree_mortality_100%",22,6,36,1,35,7
"L13159","SLH",375560.0906,3965353.411,"1977",6,"2005",28,17.7304964539007,2498,19.6946,102.0948,"tree_mortality_100%",65,4,2,0,29,29
"L13162","SLH",378310.0906,3960953.411,"1977",10,"2005",9,22.2222222222222,2298,23.43063,33.23171,"tree_mortality_100%",18,3,29,0,50,38
"L13164","SLH",378700.0906,3960903.411,"1977",10,"2005",9,0,2191,57.83308,73.55962,"tree_mortality_100%",41,6,26,1,26,11
"L14167","SLH",374590.0906,3965713.411,"1977",10,"2005",28,0,2564,11.17999,108.435,"tree_mortality_100%",86,2,0,0,12,59
"L14171","SLH",378870.0906,3960603.411,"1977",4,"2005",9,0,2181,27.80607,301.4296,"tree_mortality_100%",49,8,16,1,26,8
"L14172","SLH",379250.0906,3960593.411,"1977",4,"2005",9,0,2169,13.27067,212.0054,"tree_mortality_100%",57,10,18,1,14,17
"L14173","SLH",379030.0906,3960453.411,"1977",10,"2005",9,488.888888888889,2196,7.054132,45,"tree_mortality_100%",5,0,18,34,43,28
"L15176","SLH",375010.0906,3965173.411,"1977",2,"2005",28,2448.97959183673,2516,25.45378,150.0685,"tree_mortality_100%",11,0,6,7,76,2
"L15177","SLH",380030.0906,3964103.411,"1977",10,"2005",7,233.333333333333,2184,36.88517,240.0184,"tree_mortality_100%",9,3,16,31,41,26
"L15178","SLH",378160.0906,3961893.411,"1977",10,"2005",28,244.444444444444,2163,42.57458,213.9063,"tree_mortality_100%",16,4,15,14,51,21
"L15179","SLH",378000.0906,3960873.411,"1977",10,"2005",9,233.333333333333,2311,32.00538,196.2602,"tree_mortality_100%",2,0,22,33,43,33
"L15180","SLH",379380.0906,3960493.411,"1977",10,"2005",9,0,2163,15.13181,56.30993,"tree_mortality_100%",67,5,6,1,21,2
"L16182","SLH",375930.0906,3965713.411,"1977",4,"2005",28,26.0416666666667,2486,24.82851,38.41806,"tree_mortality_100%",30,1,1,0,68,86
"L16183","SLH",377920.0906,3964703.411,"1977",10,"2005",7,66.6666666666667,2255,50.2919,48.36646,"tree_mortality_100%",15,9,8,6,62,70
"L16184","SLH",380410.0906,3963363.411,"1977",10,"2005",28,366.666666666667,2165,36.60026,96.76617,"tree_mortality_100%",19,8,5,15,53,42
"L16185","SLH",379750.0906,3960783.411,"1977",10,"2005",9,66.6666666666667,2195,22.20139,27.34988,"tree_mortality_100%",51,9,4,5,31,41
"L17187","SLH",378670.0906,3964763.411,"1977",10,"2005",7,244.444444444444,2229,15.43664,185.1944,"tree_mortality_100%",19,5,40,4,32,0
"L17188","SLH",377600.0906,3960743.411,"1977",10,"2005",9,0,2299,35.43233,71.56505,"tree_mortality_100%",16,12,23,9,40,49
"L17189","SLH",377120.0906,3960513.411,"1977",10,"2005",9,311.111111111111,2307,45.32746,39.98689,"tree_mortality_100%",25,6,14,10,45,34
"L17190","SLH",379690.0906,3960243.411,"1977",10,"2005",9,11.1111111111111,2157,39.74699,47.43665,"tree_mortality_100%",24,2,8,24,42,71
"L18192","SLH",378380.0906,3964723.411,"1977",4,"2005",7,390.625,2242,19.47122,188.1301,"tree_mortality_100%",9,2,18,22,49,27
"L20197","SLH",377310.0906,3960383.411,"1977",10,"2005",9,188.888888888889,2295,36.62355,47.72631,"tree_mortality_100%",9,5,14,9,63,22
"L20198","SLH",379960.0906,3960263.411,"1977",10,"2005",9,200,2175,25.45378,166.3287,"tree_mortality_100%",45,3,5,15,32,42
